fid,p_a,count1,elev,year,near,tot,per_sf,per_lp,per_mc,per_as,per_pp,per_o
421,0,0,1115,2011,145329,40000,0,0,0,0,1,0
363,0,0,1768,2011,0,70000,0,0,1,0,0,0
429,0,0,1374,2011,20877,120000,0,0,0,0,0,1
393,0,0,1764,2011,0,100000,0.1,0.1,0.8,0,0,0
443,0,0,1896,2011,4139,20000,0,0,0,0,0,1
337,0,0,1001,2011,0,90000,0,0,1,0,0,0
452,0,0,2606,2011,302,160000,0.19,0.75,0.06,0,0,0
412,0,0,762,2011,104,90000,0,0.22,0.44,0,0.22,0.11
383,0,0,2032,2011,0,150000,0.07,0,0.87,0,0,0.07
410,0,0,1409,2011,0,60000,0,0,0.83,0,0.17,0
361,0,0,1926,2011,0,90000,0,0.89,0,0,0,0.11
385,0,0,1856,2011,0,160000,0.25,0.38,0.38,0,0,0
444,0,0,2048,2011,1050,140000,0,0,0.07,0,0,0.93
360,0,0,2340,2011,0,120000,0,0,1,0,0,0
4,1,5,1524,2012,9446,160000,0.13,0,0.88,0,0,0
8,1,4,2081,2012,0,160000,0,0.25,0.75,0,0,0
9,1,4,1295,2012,663,160000,0,0,0.88,0,0,0.13
10,1,4,1764,2012,1597,120000,0,0.17,0.17,0,0,0.67
38,1,2,1577,2012,1798,110000,0,0,0.55,0,0,0.45
39,1,2,2195,2012,0,130000,0,0.85,0.08,0,0,0.08
41,1,2,1463,2012,245,140000,0,0,0.93,0,0,0.07
42,1,2,1311,2012,1320,80000,0,0,1,0,0,0
95,1,1,2103,2012,0,80000,0,0.38,0.63,0,0,0
96,1,1,1341,2012,0,90000,0.22,0,0.67,0,0,0.11
97,1,1,1701,2012,0,100000,0.7,0,0.3,0,0,0
98,1,1,1329,2012,0,150000,0.07,0.2,0.6,0,0,0.13
99,1,1,1537,2012,1802,150000,0,0,0.07,0,0.07,0.87
100,1,1,1676,2012,0,130000,0,0,0.92,0,0.08,0
101,1,1,2033,2012,308,80000,0,0,1,0,0,0
102,1,1,1677,2012,2374,110000,0,0,1,0,0,0
103,1,1,1322,2012,1254,160000,0,0,1,0,0,0
104,1,1,2067,2012,0,160000,0,1,0,0,0,0
105,1,1,1463,2012,1439,80000,0.13,0,0.75,0,0.13,0
106,1,1,1951,2012,0,100000,0,0.8,0.2,0,0,0
107,1,1,1633,2012,1831,110000,0,0.36,0.64,0,0,0
108,1,1,1745,2012,648,80000,0,0,1,0,0,0
109,1,1,2317,2012,68,150000,0,0,0.67,0.2,0,0.13
110,1,1,2439,2012,3673,150000,0.13,0,0.67,0,0,0.2
111,1,1,2547,2012,213,150000,0.33,0.47,0.07,0,0,0.13
569,0,0,2182,2012,1429,160000,0,0,0.63,0,0,0.38
572,0,0,1864,2012,276,110000,0.27,0,0.73,0,0,0
499,0,0,1213,2012,551,60000,0,0,0.83,0,0,0.17
608,0,0,1747,2012,0,60000,0,0,0.83,0,0,0.17
624,0,0,2541,2012,9505,120000,0,0.92,0,0,0,0.08
540,0,0,2033,2012,2361,80000,0,0,1,0,0,0
583,0,0,1541,2012,236,100000,0,0,1,0,0,0
509,0,0,1357,2012,0,60000,0,0,1,0,0,0
563,0,0,2177,2012,0,80000,0,0,0.88,0,0,0.13
480,0,0,1591,2012,0,110000,0.36,0,0.55,0,0,0.09
510,0,0,1403,2012,0,80000,0,0,0.5,0,0,0.5
588,0,0,1829,2012,679,160000,0.56,0,0.44,0,0,0
481,0,0,884,2012,0,80000,0,0,0.38,0,0,0.63
468,0,0,1520,2012,0,120000,0,0,0.5,0,0,0.5
605,0,0,2084,2012,0,70000,0,0,0,0,0,1
567,0,0,2218,2012,0,120000,0,0.08,0.83,0,0,0.08
485,0,0,1234,2012,69,100000,0,0,1,0,0,0
636,0,0,2348,2012,0,120000,0.33,0,0.5,0,0,0.17
585,0,0,957,2012,0,110000,0,0,0.09,0,0.18,0.73
633,0,0,2407,2012,3162,150000,0.67,0.2,0,0,0,0.13
508,0,0,1562,2012,0,130000,0.23,0,0.77,0,0,0
471,0,0,1203,2012,0,70000,0.29,0,0.57,0,0,0.14
616,0,0,2446,2012,0,160000,0,0,0.19,0,0,0.81
516,0,0,1477,2012,0,130000,0.77,0,0,0,0,0.23
520,0,0,1882,2012,0,150000,0,0.07,0.73,0,0.2,0
5,1,5,1912,2013,0,110000,0,0.64,0.36,0,0,0
17,1,3,1322,2013,0,160000,0,0.13,0.88,0,0,0
112,1,1,799,2013,1855,120000,0,0,0.67,0,0,0.33
113,1,1,1562,2013,2497,100000,0,0,1,0,0,0
114,1,1,2291,2013,608,40000,0,1,0,0,0,0
115,1,1,1896,2013,0,100000,0,0,1,0,0,0
116,1,1,2032,2013,0,120000,0,0,0.92,0,0,0.08
117,1,1,2568,2013,0,100000,0,0.4,0.4,0,0,0.2
118,1,1,1856,2013,1264,100000,0.1,0,0.7,0,0,0.2
119,1,1,2805,2013,0,110000,0,0.09,0.91,0,0,0
120,1,1,2378,2013,669,80000,0,0,0.88,0,0,0.13
121,1,1,1812,2013,2865,100000,0,0,0.9,0,0,0.1
122,1,1,1463,2013,83,100000,0,0.1,0.9,0,0,0
123,1,1,1409,2013,1105,60000,0,0,0.67,0,0.33,0
124,1,1,2492,2013,2940,160000,0,0.13,0.06,0.06,0,0.75
125,1,1,2805,2013,4112,150000,0.73,0.07,0.2,0,0,0
126,1,1,2804,2013,13085,120000,0.25,0,0.42,0,0,0.33
127,1,1,2830,2013,0,160000,0,0.06,0.69,0.19,0,0.06
725,0,0,1829,2013,0,80000,0,0.63,0.38,0,0,0
847,0,0,2823,2013,23327,150000,0.27,0.73,0,0,0,0
777,0,0,1421,2013,1427,90000,0,0,1,0,0,0
842,0,0,3032,2013,15890,130000,0.31,0,0.08,0,0,0.62
859,0,0,2829,2013,908,130000,0.08,0,0.38,0,0,0.54
776,0,0,1023,2013,1717,100000,0,0,0.9,0,0,0.1
703,0,0,1069,2013,0,110000,0,0,1,0,0,0
870,0,0,2761,2013,1905,100000,0.2,0,0,0,0,0.8
687,0,0,1591,2013,1819,80000,0,0,0.75,0,0,0.25
717,0,0,1797,2013,0,60000,0,0,1,0,0,0
663,0,0,868,2013,0,60000,0,0,0.67,0,0,0.33
848,0,0,2053,2013,7487,140000,0,0,0.14,0,0,0.86
793,0,0,1940,2013,0,100000,0,0,0.1,0,0.8,0.1
667,0,0,1111,2013,2235,110000,0,0,0.82,0,0,0.18
853,0,0,3165,2013,0,130000,0.15,0,0.15,0,0,0.69
786,0,0,1075,2013,2187,160000,0,0.06,0.94,0,0,0
804,0,0,957,2013,386,110000,0,0,0.18,0,0.09,0.73
665,0,0,1001,2013,591,140000,0,0,0.79,0,0.14,0.07
1,1,9,2081,2014,4081,160000,0.06,0,0,0,0,0.94
11,1,4,2781,2014,0,150000,0.4,0.33,0.13,0,0,0.13
18,1,3,2838,2014,1836,150000,0.6,0,0,0,0,0.4
43,1,2,2103,2014,0,180000,0.39,0.33,0.28,0,0,0
44,1,2,2340,2014,5969,160000,0,0,0.88,0,0,0.13
45,1,2,1322,2014,0,110000,0,0.09,0.91,0,0,0
46,1,2,1712,2014,0,140000,0,0.57,0.36,0,0,0.07
47,1,2,2805,2014,2087,160000,0.13,0,0.44,0,0,0.44
49,1,2,2805,2014,10719,140000,0.64,0.14,0.21,0,0,0
50,1,2,2558,2014,2170,70000,0.57,0.14,0,0,0,0.29
51,1,2,2561,2014,0,160000,0.44,0.13,0,0,0,0.44
128,1,1,1560,2014,1859,60000,0,0,0.5,0,0,0.5
129,1,1,1912,2014,0,10000,0,1,0,0,0,0
130,1,1,1812,2014,1776,130000,0,0.08,0.54,0,0,0.38
131,1,1,1023,2014,672,150000,0,0,0.93,0,0,0.07
132,1,1,2132,2014,1181,120000,0.83,0,0,0,0,0.17
133,1,1,1793,2014,0,110000,0,0.18,0.73,0,0,0.09
134,1,1,2565,2014,661,140000,0,0.21,0,0,0,0.79
135,1,1,2608,2014,1411,160000,0.31,0,0.44,0,0,0.25
137,1,1,2804,2014,24393,60000,0.17,0.17,0.17,0,0,0.5
138,1,1,2293,2014,22709,150000,0,0.67,0.2,0,0,0.13
139,1,1,2348,2014,5040,160000,0,0,0.69,0,0,0.31
140,1,1,2851,2014,110,150000,0.33,0.27,0.4,0,0,0
141,1,1,2906,2014,783,160000,0.13,0,0,0,0,0.88
142,1,1,2793,2014,3622,160000,0,0.44,0.25,0.06,0,0.25
143,1,1,3196,2014,13983,100000,0,0,0,0,0,1
144,1,1,2572,2014,1337,150000,0,0.87,0.13,0,0,0
145,1,1,2086,2014,0,140000,0.36,0,0.14,0,0,0.5
1033,0,0,1161,2014,0,60000,0,0,1,0,0,0
1126,0,0,1821,2014,0,130000,0,0,0,0,0.31,0.69
1068,0,0,762,2014,111,140000,0,0,0,0.29,0,0.71
996,0,0,2240,2014,0,120000,0,0,0.83,0,0,0.17
1039,0,0,1075,2014,2991,160000,0,0.06,0.81,0.06,0,0.06
1073,0,0,1146,2014,105233,100000,0,0,0,0,0.6,0.4
991,0,0,2174,2014,0,120000,0,0,1,0,0,0
1085,0,0,2446,2014,0,160000,0.06,0.13,0,0,0,0.81
976,0,0,2052,2014,0,110000,0,0,0.91,0,0,0.09
1098,0,0,3441,2014,3271,60000,0,0,0,0,0,1
1113,0,0,2838,2014,605,150000,0.6,0,0,0,0,0.4
941,0,0,1102,2014,0,70000,0,0,1,0,0,0
1123,0,0,2986,2014,0,160000,0,0.81,0,0.06,0,0.13
1027,0,0,2104,2014,4386,60000,0,0,0,0,0,1
1083,0,0,2317,2014,2905,130000,0,0,0.46,0.08,0,0.46
1111,0,0,2149,2014,6591,140000,0,0,0.21,0,0,0.79
1075,0,0,2081,2014,5247,60000,0,0.17,0.83,0,0,0
1067,0,0,1139,2014,0,90000,0,0,0.33,0,0,0.67
1030,0,0,974,2014,6933,150000,0,0,1,0,0,0
956,0,0,1882,2014,0,70000,0,0,0.71,0,0,0.29
1057,0,0,1951,2014,1462,140000,0.57,0,0,0,0,0.43
950,0,0,1500,2014,0,100000,0,0,1,0,0,0
1058,0,0,1158,2014,7394,70000,0,0.71,0,0,0,0.29
931,0,0,1220,2014,0,90000,0,0,1,0,0,0
906,0,0,1001,2014,111,70000,0,0,1,0,0,0
945,0,0,912,2014,17627,80000,0,0,0.63,0,0.25,0.13
1079,0,0,2084,2014,835,40000,0,0,0,0,0,1
988,0,0,1728,2014,0,140000,0,0.07,0.86,0,0,0.07
3,1,6,2764,2015,0,160000,0.25,0.75,0,0,0,0
19,1,3,1830,2015,157,60000,0.5,0.17,0.17,0,0,0.17
20,1,3,2438,2015,2607,160000,0.5,0,0.31,0,0,0.19
21,1,3,2558,2015,6693,130000,0.08,0.08,0.77,0,0,0.08
22,1,3,2560,2015,665,80000,0.25,0.63,0.13,0,0,0
52,1,2,1329,2015,667,70000,0.14,0.43,0.14,0,0,0.29
53,1,2,1295,2015,1823,100000,0,0,1,0,0,0
54,1,2,2608,2015,914,130000,0.85,0.08,0,0,0,0.08
55,1,2,2378,2015,1923,160000,0.44,0.13,0.38,0,0,0.06
56,1,2,2536,2015,2725,140000,0.29,0,0.36,0,0,0.36
57,1,2,2409,2015,7566,160000,0.19,0,0.25,0,0,0.56
58,1,2,2572,2015,2260,160000,0,0.81,0.19,0,0,0
59,1,2,2086,2015,2378,150000,0.2,0.07,0.27,0,0,0.47
146,1,1,2361,2015,9904,130000,0,0,0.08,0,0,0.92
147,1,1,2103,2015,0,120000,0,0,0.92,0,0,0.08
148,1,1,1912,2015,0,80000,0,0,1,0,0,0
149,1,1,1591,2015,3975,60000,0,0,0.5,0,0,0.5
150,1,1,1828,2015,0,100000,0,0,1,0,0,0
151,1,1,1357,2015,2167,60000,0.83,0,0,0,0,0.17
152,1,1,2081,2015,1914,140000,0,0,0.14,0,0,0.86
153,1,1,2052,2015,1923,80000,0,0,0.5,0,0,0.5
154,1,1,1508,2015,180,80000,0,0,0.63,0,0.13,0.25
155,1,1,1512,2015,2523,120000,0.25,0,0,0,0,0.75
156,1,1,2805,2015,3660,80000,0.25,0,0.63,0,0,0.13
157,1,1,1488,2015,6531,160000,0,0,0.63,0,0,0.38
158,1,1,1764,2015,1608,100000,0,0,0.8,0,0,0.2
159,1,1,1280,2015,4747,120000,0,0,0,0,0.5,0.5
160,1,1,1321,2015,6240,120000,0,0,1,0,0,0
161,1,1,1075,2015,11231,140000,0,0,1,0,0,0
162,1,1,466,2015,0,120000,0.17,0.08,0.75,0,0,0
163,1,1,1541,2015,581,110000,0,0,0.82,0,0,0.18
164,1,1,2334,2015,13263,160000,0.13,0.19,0.69,0,0,0
165,1,1,2294,2015,13876,140000,0,0.29,0.07,0,0,0.64
166,1,1,2851,2015,361,150000,0.33,0.27,0.2,0,0,0.2
1170,0,0,1691,2015,0,80000,0,0,1,0,0,0
1247,0,0,1940,2015,0,120000,0,1,0,0,0,0
1301,0,0,2348,2015,4140,160000,0.56,0,0.25,0,0,0.19
1277,0,0,2446,2015,408,100000,0,0.3,0.1,0,0,0.6
1141,0,0,1230,2015,751,40000,0.25,0,0.5,0,0,0.25
1242,0,0,1827,2015,2057,90000,1,0,0,0,0,0
1264,0,0,1018,2015,2758,100000,0,0,0.9,0,0.1,0
1167,0,0,1438,2015,182,70000,0,0,1,0,0,0
1227,0,0,1023,2015,4021,130000,0.31,0,0.62,0,0,0.08
1232,0,0,1864,2015,61,100000,0,0,1,0,0,0
1144,0,0,1024,2015,48,60000,0,0,1,0,0,0
1184,0,0,2340,2015,5117,110000,0,0,1,0,0,0
1246,0,0,1439,2015,2151,70000,0,0.29,0.71,0,0,0
1168,0,0,1426,2015,511,60000,0,0,0.83,0,0,0.17
1307,0,0,2761,2015,217,160000,0.31,0,0,0,0,0.69
1197,0,0,2025,2015,3390,90000,0,0,0,0,0,1
1147,0,0,793,2015,1562,100000,0,0,1,0,0,0
1136,0,0,1555,2015,0,90000,0,0,0.78,0,0,0.22
1323,0,0,1993,2015,1397,20000,0,0,0.5,0,0,0.5
1219,0,0,1647,2015,3694,120000,0,0.92,0.08,0,0,0
1169,0,0,1562,2015,4011,80000,1,0,0,0,0,0
1296,0,0,1896,2015,15486,40000,0,0,0,0,0,1
1295,0,0,2520,2015,4567,10000,0,0,0,0,0,1
1196,0,0,2219,2015,1822,60000,0,0,0,0,0,1
1216,0,0,2177,2015,0,120000,0,0,1,0,0,0
1321,0,0,1865,2015,0,80000,0,0,0,0,1,0
1268,0,0,1809,2015,0,80000,0,0,0,0,0,1
1178,0,0,1882,2015,0,80000,0.25,0,0.25,0,0.13,0.38
1132,0,0,1843,2015,2066,140000,0.07,0,0.5,0,0.14,0.29
1313,0,0,2193,2015,12832,30000,0,0,0.67,0,0,0.33
1159,0,0,1213,2015,0,80000,0,0,0.88,0,0,0.13
1305,0,0,2838,2015,3446,60000,0,0,0.67,0,0,0.33
1142,0,0,1131,2015,0,90000,0,0,1,0,0,0
1148,0,0,1448,2015,1080,90000,0,0,1,0,0,0
